From,To,Weight
2,26,1
3,3,1
3,35,1
3,62,1
3,73,1
3,74,1
3,81,1
3,91,1
3,92,1
3,96,1
3,116,1
3,117,1
3,123,1
6,3,1
6,11,1
6,24,1
6,26,1
6,28,1
6,31,1
7,11,1
7,26,1
7,28,1
7,31,1
7,101,1
7,116,1
10,24,1
10,26,1
10,27,1
10,28,1
10,29,1
10,30,1
10,31,1
10,68,1
10,69,1
10,73,1
10,74,1
10,75,1
10,77,1
10,78,1
10,79,1
10,81,1
11,2,1
11,3,1
11,7,1
11,11,1
11,14,1
11,26,1
11,28,1
11,31,1
11,32,1
11,33,1
11,35,1
11,66,1
11,68,1
11,79,1
11,91,1
11,92,1
11,96,1
11,98,1
11,101,1
11,102,1
11,115,1
11,123,1
11,128,1
12,6,1
12,30,1
12,31,1
12,79,1
12,91,1
12,123,1
14,3,1
14,11,1
14,26,1
14,28,1
14,31,1
14,68,1
14,69,1
14,73,1
14,75,1
14,102,1
18,2,1
18,6,1
18,11,1
18,12,1
18,18,1
18,24,1
18,29,1
18,31,1
18,33,1
18,35,1
18,41,1
18,50,1
18,62,1
18,68,1
18,69,1
18,73,1
18,74,1
18,75,1
18,77,1
18,78,1
18,79,1
18,81,1
18,85,1
18,88,1
18,91,1
18,92,1
18,93,1
18,96,1
18,98,1
18,101,1
18,102,1
18,103,1
18,109,1
18,113,1
18,115,1
18,116,1
18,117,1
18,118,1
18,119,1
18,125,1
18,128,1
18,133,1
24,26,1
24,31,1
24,69,1
24,74,1
24,102,1
26,2,1
26,3,1
26,6,1
26,11,1
26,12,1
26,14,1
26,18,1
26,24,1
26,26,1
26,28,1
26,31,1
26,32,1
26,33,1
26,35,1
26,36,1
26,38,1
26,41,1
26,47,1
26,50,1
26,66,1
26,68,1
26,69,1
26,73,1
26,74,1
26,77,1
26,78,1
26,79,1
26,81,1
26,85,1
26,91,1
26,92,1
26,101,1
26,102,1
26,103,1
26,116,1
26,118,1
26,123,1
26,128,1
26,133,1
28,2,1
28,3,1
28,11,1
28,24,1
28,26,1
28,28,1
28,31,1
28,32,1
28,35,1
28,37,1
28,47,1
28,66,1
28,68,1
28,69,1
28,73,1
28,75,1
28,78,1
28,79,1
28,92,1
28,96,1
28,102,1
28,115,1
28,116,1
29,2,1
29,3,1
29,6,1
29,10,1
29,26,1
29,30,1
29,31,1
29,41,1
29,43,1
29,47,1
30,7,1
30,31,1
30,35,1
30,47,1
30,73,1
30,74,1
30,79,1
30,91,1
30,92,1
30,98,1
30,101,1
30,102,1
30,116,1
31,2,1
31,3,1
31,11,1
31,24,1
31,26,1
31,28,1
31,31,1
31,66,1
31,75,1
31,92,1
31,96,1
31,101,1
31,102,1
32,2,1
32,26,1
32,27,1
32,28,1
32,31,1
32,41,1
32,43,1
32,47,1
32,68,1
32,69,1
32,73,1
32,91,1
32,96,1
32,98,1
32,101,1
32,102,1
32,116,1
35,3,1
35,11,1
35,24,1
35,26,1
35,28,1
35,31,1
35,35,1
35,38,1
35,41,1
35,43,1
35,47,1
35,50,1
35,62,1
35,66,1
35,68,1
35,69,1
35,74,1
35,77,1
35,78,1
35,79,1
35,81,1
35,91,1
35,92,1
35,96,1
35,98,1
35,101,1
35,102,1
35,103,1
35,115,1
35,116,1
35,120,1
35,124,1
35,133,1
36,26,1
36,31,1
36,73,1
36,101,1
36,102,1
36,115,1
37,26,1
37,28,1
37,30,1
37,68,1
37,69,1
37,73,1
37,75,1
37,92,1
37,96,1
37,101,1
37,102,1
41,18,1
41,26,1
41,27,1
41,28,1
41,31,1
41,41,1
41,47,1
41,66,1
41,68,1
41,73,1
41,75,1
41,92,1
41,96,1
41,98,1
41,101,1
41,102,1
41,128,1
43,26,1
43,31,1
43,69,1
43,101,1
43,128,1
47,2,1
47,3,1
47,7,1
47,11,1
47,12,1
47,18,1
47,24,1
47,28,1
47,29,1
47,31,1
47,33,1
47,35,1
47,36,1
47,41,1
47,43,1
47,47,1
47,50,1
47,66,1
47,68,1
47,69,1
47,74,1
47,77,1
47,78,1
47,79,1
47,81,1
47,91,1
47,92,1
47,96,1
47,101,1
47,102,1
47,103,1
47,109,1
47,116,1
47,118,1
47,124,1
50,2,1
50,6,1
50,11,1
50,18,1
50,24,1
50,26,1
50,30,1
50,31,1
50,32,1
50,33,1
50,53,1
50,68,1
50,69,1
50,73,1
50,74,1
50,77,1
50,78,1
50,79,1
50,81,1
50,88,1
50,91,1
50,92,1
50,97,1
50,101,1
50,102,1
50,103,1
53,2,1
53,3,1
53,6,1
53,11,1
53,12,1
53,24,1
53,26,1
53,27,1
53,28,1
53,31,1
53,32,1
53,41,1
53,43,1
53,68,1
53,69,1
53,73,1
53,91,1
53,92,1
53,96,1
53,98,1
53,101,1
53,102,1
53,116,1
62,31,1
62,36,1
62,96,1
62,102,1
66,2,1
66,3,1
66,7,1
66,11,1
66,12,1
66,14,1
66,18,1
66,24,1
66,26,1
66,28,1
66,29,1
66,30,1
66,31,1
66,32,1
66,33,1
66,35,1
66,36,1
66,38,1
66,41,1
66,43,1
66,47,1
66,50,1
66,53,1
66,66,1
66,68,1
66,69,1
66,73,1
66,74,1
66,77,1
66,78,1
66,79,1
66,81,1
66,91,1
66,92,1
66,96,1
66,98,1
66,101,1
66,102,1
66,109,1
66,115,1
66,116,1
66,118,1
66,119,1
66,123,1
66,124,1
66,125,1
66,128,1
66,133,1
68,26,1
68,31,1
68,35,1
68,68,1
68,69,1
68,73,1
68,77,1
68,79,1
68,96,1
68,101,1
68,102,1
68,116,1
69,2,1
69,11,1
69,12,1
69,24,1
69,26,1
69,28,1
69,30,1
69,31,1
69,32,1
69,36,1
69,37,1
69,53,1
69,66,1
69,68,1
69,69,1
69,73,1
69,74,1
69,75,1
69,77,1
69,78,1
69,79,1
69,81,1
69,85,1
69,92,1
69,96,1
69,98,1
69,101,1
69,102,1
69,115,1
69,116,1
69,128,1
73,3,1
73,6,1
73,7,1
73,11,1
73,18,1
73,24,1
73,26,1
73,28,1
73,29,1
73,31,1
73,35,1
73,37,1
73,41,1
73,47,1
73,50,1
73,66,1
73,68,1
73,69,1
73,73,1
73,74,1
73,75,1
73,78,1
73,79,1
73,91,1
73,96,1
73,101,1
73,102,1
73,103,1
73,113,1
73,128,1
74,11,1
74,12,1
74,24,1
74,26,1
74,28,1
74,31,1
74,33,1
74,35,1
74,41,1
74,43,1
74,47,1
74,53,1
74,68,1
74,69,1
74,73,1
74,74,1
74,75,1
74,77,1
74,78,1
74,79,1
74,101,1
74,102,1
74,103,1
74,116,1
75,11,1
75,26,1
75,28,1
75,31,1
75,35,1
75,37,1
75,66,1
75,68,1
75,73,1
75,75,1
75,79,1
75,91,1
75,92,1
75,101,1
75,116,1
77,26,1
77,102,1
78,26,1
78,31,1
78,102,1
79,3,1
79,11,1
79,24,1
79,26,1
79,28,1
79,29,1
79,31,1
79,35,1
79,47,1
79,66,1
