From,To,Weight
2,2,1
2,13,1
2,26,1
2,127,1
2,128,1
3,2,1
3,19,1
3,28,1
3,38,1
3,53,1
3,62,1
3,92,1
3,101,1
3,102,1
3,106,1
3,116,1
3,125,1
6,6,1
6,11,1
6,26,1
7,2,1
7,11,1
7,12,1
7,18,1
7,26,1
7,27,1
7,28,1
7,30,1
7,31,1
7,37,1
7,47,1
7,52,1
7,68,1
7,69,1
7,73,1
7,74,1
7,79,1
7,81,1
7,82,1
7,92,1
7,96,1
7,98,1
7,99,1
7,101,1
7,102,1
7,116,1
7,117,1
7,125,1
7,132,1
7,133,1
10,35,1
10,37,1
10,38,1
10,70,1
10,73,1
10,77,1
10,78,1
10,81,1
10,83,1
10,91,1
10,96,1
10,102,1
10,103,1
10,105,1
10,116,1
10,117,1
10,127,1
11,12,1
11,13,1
11,14,1
11,26,1
11,28,1
11,31,1
11,68,1
11,96,1
11,101,1
11,102,1
11,105,1
11,111,1
11,115,1
11,128,1
12,5,1
12,12,1
12,18,1
12,24,1
12,41,1
12,43,1
12,51,1
12,61,1
12,75,1
12,101,1
12,103,1
12,121,1
12,128,1
14,11,1
14,12,1
14,13,1
14,14,1
14,18,1
14,33,1
14,43,1
14,51,1
14,75,1
14,86,1
18,2,1
18,6,1
18,7,1
18,8,1
18,12,1
18,13,1
18,18,1
18,19,1
18,24,1
18,27,1
18,32,1
18,33,1
18,35,1
18,36,1
18,37,1
18,39,1
18,41,1
18,43,1
18,47,1
18,51,1
18,53,1
18,57,1
18,61,1
18,68,1
18,71,1
18,73,1
18,75,1
18,78,1
18,79,1
18,81,1
18,82,1
18,83,1
18,85,1
18,86,1
18,87,1
18,88,1
18,91,1
18,92,1
18,93,1
18,96,1
18,98,1
18,101,1
18,109,1
18,116,1
18,117,1
18,119,1
18,121,1
18,127,1
18,128,1
18,132,1
18,133,1
24,2,1
24,3,1
24,11,1
24,12,1
24,18,1
24,24,1
24,28,1
24,31,1
24,35,1
24,36,1
24,37,1
24,55,1
24,61,1
24,62,1
24,68,1
24,69,1
24,70,1
24,71,1
24,73,1
24,74,1
24,77,1
24,78,1
24,79,1
24,80,1
24,81,1
24,82,1
24,85,1
24,91,1
24,92,1
24,96,1
24,102,1
24,103,1
24,105,1
24,116,1
24,117,1
24,119,1
24,128,1
24,132,1
24,133,1
26,2,1
26,6,1
26,8,1
26,10,1
26,11,1
26,12,1
26,13,1
26,14,1
26,18,1
26,24,1
26,25,1
26,26,1
26,28,1
26,30,1
26,31,1
26,32,1
26,33,1
26,35,1
26,37,1
26,43,1
26,47,1
26,50,1
26,61,1
26,62,1
26,66,1
26,68,1
26,77,1
26,78,1
26,79,1
26,81,1
26,85,1
26,91,1
26,92,1
26,96,1
26,98,1
26,100,1
26,101,1
26,102,1
26,103,1
26,104,1
26,105,1
26,109,1
26,115,1
26,116,1
26,123,1
26,124,1
26,128,1
26,132,1
26,133,1
27,13,1
27,18,1
27,27,1
28,2,1
28,3,1
28,5,1
28,6,1
28,11,1
28,12,1
28,13,1
28,14,1
28,24,1
28,25,1
28,26,1
28,27,1
28,28,1
28,29,1
28,30,1
28,31,1
28,32,1
28,35,1
28,41,1
28,47,1
28,51,1
28,61,1
28,63,1
28,68,1
28,71,1
28,73,1
28,74,1
28,75,1
28,77,1
28,79,1
28,87,1
28,92,1
28,96,1
28,99,1
28,101,1
28,102,1
28,103,1
28,120,1
29,26,1
29,27,1
29,28,1
29,29,1
29,30,1
29,31,1
29,74,1
29,79,1
29,102,1
30,28,1
30,29,1
30,30,1
30,31,1
30,39,1
30,91,1
31,26,1
31,27,1
31,28,1
32,33,1
32,67,1
32,100,1
32,102,1
32,105,1
32,125,1
33,33,1
35,10,1
35,11,1
35,18,1
35,24,1
35,26,1
35,35,1
35,36,1
35,43,1
35,47,1
35,61,1
35,62,1
35,68,1
35,71,1
35,78,1
35,79,1
35,83,1
