From,To,Weight
1,128,1
2,2,1
2,3,1
2,7,1
2,18,1
2,24,1
2,26,1
2,28,1
2,41,1
2,47,1
2,66,1
2,73,1
2,85,1
2,91,1
2,101,1
2,102,1
2,103,1
2,120,1
3,24,1
3,28,1
3,41,1
3,47,1
3,50,1
3,66,1
3,101,1
3,102,1
3,120,1
3,123,1
3,124,1
3,125,1
5,12,1
5,28,1
5,41,1
5,43,1
5,47,1
5,50,1
5,73,1
5,92,1
5,98,1
5,102,1
5,117,1
5,119,1
5,120,1
5,128,1
6,6,1
6,18,1
6,26,1
6,28,1
6,47,1
6,50,1
6,120,1
7,18,1
7,50,1
7,119,1
7,120,1
8,18,1
8,26,1
8,50,1
8,58,1
8,73,1
8,77,1
8,79,1
8,88,1
8,101,1
8,102,1
8,120,1
8,125,1
8,128,1
9,120,1
9,124,1
10,26,1
10,35,1
10,69,1
10,73,1
10,79,1
10,101,1
10,102,1
10,116,1
10,119,1
10,120,1
11,6,1
11,7,1
11,14,1
11,24,1
11,26,1
11,28,1
11,35,1
11,47,1
11,66,1
11,68,1
11,69,1
11,73,1
11,79,1
11,92,1
11,96,1
11,102,1
11,116,1
11,119,1
11,120,1
11,125,1
12,7,1
12,11,1
12,12,1
12,14,1
12,18,1
12,24,1
12,26,1
12,28,1
12,36,1
12,41,1
12,47,1
12,53,1
12,69,1
12,73,1
12,79,1
12,91,1
12,102,1
12,103,1
12,118,1
12,119,1
12,120,1
12,124,1
12,125,1
12,133,1
13,2,1
13,11,1
13,14,1
13,18,1
13,26,1
13,27,1
13,28,1
13,41,1
13,43,1
13,69,1
13,73,1
13,75,1
13,79,1
13,88,1
13,98,1
13,101,1
13,102,1
13,120,1
14,11,1
14,14,1
14,26,1
14,28,1
14,66,1
14,69,1
14,120,1
14,125,1
17,91,1
18,7,1
18,12,1
18,14,1
18,18,1
18,24,1
18,26,1
18,27,1
18,35,1
18,36,1
18,41,1
18,50,1
18,66,1
18,68,1
18,69,1
18,73,1
18,77,1
18,78,1
18,79,1
18,92,1
18,101,1
18,102,1
18,103,1
18,115,1
18,117,1
18,120,1
18,124,1
18,125,1
18,128,1
19,3,1
19,18,1
19,50,1
19,58,1
19,69,1
19,73,1
19,79,1
19,81,1
19,102,1
19,120,1
19,124,1
19,125,1
22,81,1
24,12,1
24,18,1
24,24,1
24,26,1
24,28,1
24,35,1
24,36,1
24,41,1
24,47,1
24,50,1
24,69,1
24,73,1
24,77,1
24,78,1
24,79,1
24,81,1
24,92,1
24,96,1
24,102,1
24,103,1
24,115,1
24,116,1
24,117,1
24,119,1
24,120,1
24,125,1
25,26,1
25,28,1
25,69,1
25,96,1
25,120,1
26,2,1
26,6,1
26,7,1
26,11,1
26,26,1
26,28,1
26,29,1
26,31,1
26,35,1
26,37,1
26,50,1
26,53,1
26,66,1
26,68,1
26,69,1
26,73,1
26,75,1
26,77,1
26,79,1
26,91,1
26,92,1
26,96,1
26,101,1
26,102,1
26,115,1
26,116,1
26,119,1
26,120,1
26,123,1
26,124,1
26,125,1
26,133,1
27,7,1
27,18,1
27,27,1
27,28,1
27,29,1
27,31,1
27,37,1
27,41,1
27,53,1
27,77,1
27,101,1
27,102,1
27,120,1
27,124,1
28,3,1
28,7,1
28,11,1
28,24,1
28,26,1
28,28,1
28,29,1
28,30,1
28,31,1
28,41,1
28,50,1
28,53,1
28,66,1
28,69,1
28,73,1
28,75,1
28,77,1
28,79,1
28,92,1
28,93,1
28,96,1
28,102,1
28,116,1
28,120,1
28,123,1
28,124,1
28,128,1
29,28,1
29,29,1
29,30,1
29,50,1
29,77,1
29,79,1
29,101,1
29,102,1
29,120,1
29,124,1
30,7,1
30,26,1
30,28,1
30,29,1
30,30,1
30,37,1
30,50,1
30,66,1
30,69,1
30,77,1
30,79,1
30,88,1
30,92,1
30,96,1
30,101,1
30,102,1
30,116,1
30,117,1
30,118,1
30,120,1
30,124,1
30,125,1
30,128,1
31,7,1
31,11,1
31,24,1
31,26,1
31,28,1
31,29,1
31,30,1
31,47,1
31,50,1
31,66,1
31,69,1
31,75,1
31,77,1
31,79,1
31,88,1
31,92,1
31,96,1
31,101,1
31,102,1
31,118,1
31,120,1
31,124,1
31,125,1
31,128,1
31,133,1
32,18,1
32,26,1
32,28,1
32,73,1
32,81,1
32,88,1
32,102,1
32,120,1
32,125,1
32,128,1
33,14,1
33,18,1
33,26,1
33,32,1
33,33,1
33,43,1
33,47,1
33,69,1
33,73,1
33,75,1
33,92,1
33,96,1
33,102,1
33,109,1
33,116,1
33,117,1
33,118,1
33,120,1
33,124,1
33,128,1
33,133,1
34,91,1
35,10,1
35,18,1
35,24,1
35,26,1
35,28,1
35,35,1
35,36,1
35,68,1
35,69,1
35,73,1
35,91,1
35,96,1
35,102,1
35,116,1
35,119,1
35,120,1
35,128,1
36,18,1
36,24,1
36,35,1
36,69,1
36,96,1
36,115,1
36,119,1
36,120,1
37,7,1
37,10,1
37,18,1
37,24,1
37,26,1
37,73,1
37,79,1
37,85,1
37,92,1
37,96,1
37,101,1
37,102,1
37,120,1
37,124,1
37,128,1
38,3,1
38,10,1
38,92,1
38,120,1
38,125,1
39,18,1
39,30,1
39,41,1
39,53,1
39,73,1
39,81,1
39,88,1
39,102,1
39,109,1
39,116,1
39,119,1
39,120,1
39,125,1
41,12,1
41,18,1
41,28,1
41,41,1
41,47,1
41,73,1
41,78,1
41,93,1
41,101,1
41,109,1
41,120,1
41,124,1
43,12,1
43,14,1
43,18,1
43,26,1
43,35,1
43,36,1
43,41,1
43,43,1
43,47,1
43,68,1
43,69,1
43,73,1
43,75,1
43,79,1
43,81,1
43,92,1
43,101,1
43,102,1
43,115,1
43,120,1
43,128,1
44,41,1
44,66,1
44,120,1
44,125,1
46,53,1
47,7,1
47,18,1
47,26,1
47,28,1
47,35,1
47,41,1
47,47,1
47,66,1
47,68,1
47,69,1
47,73,1
47,77,1
47,79,1
47,91,1
47,96,1
47,101,1
47,102,1
47,103,1
47,119,1
47,120,1
49,120,1
50,26,1
50,47,1
50,120,1
50,125,1
51,12,1
51,14,1
51,18,1
51,28,1
51,37,1
51,41,1
51,69,1
51,75,1
51,78,1
51,79,1
51,85,1
51,102,1
51,116,1
51,120,1
51,125,1
51,128,1
52,7,1
53,3,1
53,18,1
53,41,1
53,69,1
53,73,1
53,92,1
53,102,1
53,116,1
53,120,1
53,125,1
55,24,1
55,116,1
55,120,1
57,18,1
57,36,1
57,66,1
57,120,1
61,12,1
61,18,1
61,24,1
61,26,1
61,28,1
61,35,1
61,47,1
61,66,1
61,73,1
61,96,1
61,101,1
61,118,1
61,120,1
62,3,1
62,24,1
62,26,1
62,35,1
62,47,1
62,53,1
62,92,1
62,96,1
62,101,1
62,120,1
62,125,1
63,28,1
63,120,1
66,26,1
66,47,1
66,66,1
66,73,1
66,109,1
66,120,1
66,123,1
67,32,1
67,50,1
67,69,1
67,73,1
67,93,1
67,120,1
68,7,1
68,11,1
68,18,1
68,24,1
68,26,1
68,28,1
68,35,1
68,41,1
68,47,1
68,50,1
68,66,1
68,68,1
68,69,1
68,73,1
68,78,1
68,79,1
68,92,1
68,93,1
68,96,1
68,101,1
68,102,1
68,103,1
68,116,1
68,117,1
68,119,1
68,120,1
69,7,1
69,24,1
69,37,1
69,43,1
69,50,1
69,69,1
69,73,1
69,75,1
69,79,1
69,92,1
69,96,1
69,102,1
69,115,1
69,116,1
69,120,1
69,124,1
69,125,1
69,128,1
70,10,1
70,24,1
70,37,1
70,50,1
70,68,1
70,69,1
70,73,1
70,75,1
70,79,1
70,96,1
70,102,1
70,119,1
70,120,1
70,124,1
70,125,1
70,128,1
71,18,1
71,24,1
71,28,1
71,35,1
71,36,1
71,47,1
71,50,1
71,69,1
71,73,1
71,77,1
71,78,1
71,79,1
71,92,1
71,96,1
71,115,1
71,120,1
71,125,1
73,7,1
73,10,1
73,18,1
73,24,1
73,28,1
73,37,1
73,41,1
73,50,1
73,53,1
73,66,1
73,69,1
73,73,1
73,79,1
73,92,1
73,96,1
73,101,1
73,102,1
73,115,1
73,116,1
73,119,1
73,120,1
73,125,1
73,128,1
74,7,1
74,24,1
74,28,1
74,29,1
74,41,1
74,47,1
74,50,1
74,69,1
74,73,1
74,79,1
74,81,1
74,92,1
74,96,1
74,102,1
74,103,1
74,120,1
74,124,1
74,125,1
75,12,1
75,14,1
75,18,1
75,28,1
75,37,1
75,41,1
75,69,1
75,75,1
75,78,1
75,79,1
75,85,1
75,102,1
75,116,1
75,120,1
75,125,1
75,128,1
77,10,1
77,24,1
77,26,1
77,28,1
77,41,1
77,47,1
77,50,1
77,68,1
77,69,1
77,73,1
77,77,1
77,79,1
77,92,1
77,96,1
77,102,1
77,117,1
77,119,1
77,120,1
77,124,1
78,10,1
78,18,1
78,24,1
78,26,1
78,35,1
78,41,1
78,50,1
78,69,1
78,73,1
78,78,1
78,81,1
78,101,1
78,102,1
78,119,1
78,120,1
79,7,1
79,18,1
79,24,1
79,26,1
79,28,1
79,29,1
79,35,1
79,50,1
79,58,1
79,66,1
79,68,1
79,69,1
79,73,1
79,79,1
79,92,1
79,96,1
79,98,1
79,102,1
79,103,1
79,116,1
79,117,1
79,120,1
79,125,1
79,128,1
80,24,1
80,50,1
80,69,1
80,79,1
80,96,1
80,102,1
80,120,1
80,125,1
81,7,1
81,10,1
81,18,1
81,24,1
81,26,1
81,41,1
81,47,1
81,50,1
81,69,1
81,73,1
81,81,1
81,102,1
81,116,1
81,119,1
81,120,1
81,124,1
81,128,1
81,133,1
82,7,1
82,18,1
82,24,1
82,50,1
82,66,1
82,69,1
82,73,1
82,77,1
82,79,1
82,81,1
82,92,1
82,96,1
82,101,1
82,102,1
82,116,1
82,120,1
82,124,1
82,125,1
82,133,1
83,10,1
83,18,1
83,35,1
83,36,1
83,41,1
83,50,1
83,73,1
83,78,1
83,79,1
83,119,1
83,120,1
83,124,1
83,125,1
85,18,1
85,24,1
85,26,1
85,69,1
85,73,1
85,81,1
85,85,1
85,92,1
85,101,1
85,102,1
85,116,1
85,118,1
85,120,1
85,125,1
86,14,1
86,18,1
86,75,1
86,96,1
86,102,1
86,118,1
86,120,1
86,124,1
87,18,1
87,28,1
87,102,1
87,120,1
88,18,1
88,120,1
89,120,1
91,10,1
91,18,1
91,24,1
91,26,1
91,30,1
91,35,1
91,73,1
91,75,1
91,77,1
91,79,1
91,101,1
91,102,1
91,116,1
91,117,1
91,119,1
91,120,1
92,3,1
92,7,1
92,18,1
92,24,1
92,26,1
92,28,1
92,37,1
92,41,1
92,66,1
92,73,1
92,81,1
92,92,1
92,96,1
92,101,1
92,102,1
92,116,1
92,120,1
93,18,1
93,81,1
93,93,1
93,120,1
94,120,1
94,125,1
96,7,1
96,10,1
96,11,1
96,18,1
96,24,1
96,26,1
96,28,1
96,35,1
96,37,1
96,41,1
96,47,1
96,50,1
96,66,1
96,68,1
96,69,1
96,73,1
96,77,1
96,79,1
96,92,1
96,93,1
96,96,1
96,101,1
96,102,1
96,116,1
96,119,1
96,120,1
96,123,1
96,124,1
96,128,1
97,73,1
97,92,1
97,101,1
97,102,1
97,116,1
97,120,1
97,125,1
98,7,1
98,18,1
98,26,1
98,41,1
98,47,1
98,73,1
98,79,1
98,81,1
98,101,1
98,102,1
98,119,1
98,120,1
98,125,1
99,7,1
99,28,1
99,91,1
100,26,1
100,32,1
100,41,1
100,93,1
100,120,1
100,125,1
101,3,1
101,7,1
101,11,1
101,12,1
101,18,1
101,26,1
101,28,1
101,37,1
101,41,1
101,47,1
101,73,1
101,78,1
101,92,1
101,98,1
101,101,1
101,102,1
101,118,1
101,119,1
101,120,1
101,124,1
102,3,1
102,7,1
102,10,1
102,11,1
102,24,1
102,26,1
102,28,1
102,29,1
102,32,1
102,35,1
102,37,1
102,41,1
102,47,1
102,53,1
102,66,1
102,69,1
102,73,1
102,79,1
102,81,1
102,85,1
102,92,1
102,96,1
102,101,1
102,102,1
102,103,1
102,116,1
102,117,1
102,120,1
102,124,1
102,125,1
103,10,1
103,12,1
103,24,1
103,26,1
103,28,1
103,41,1
103,47,1
103,73,1
103,79,1
103,91,1
103,92,1
103,96,1
103,101,1
103,102,1
103,103,1
103,117,1
103,118,1
103,119,1
103,120,1
103,124,1
104,26,1
104,41,1
104,73,1
104,92,1
104,101,1
104,102,1
104,120,1
105,10,1
105,11,1
105,24,1
105,26,1
105,32,1
105,47,1
105,53,1
105,69,1
105,73,1
105,75,1
105,79,1
105,92,1
105,93,1
105,96,1
105,102,1
105,116,1
105,120,1
105,124,1
105,125,1
105,128,1
106,3,1
107,102,1
107,120,1
107,124,1
107,125,1
108,73,1
108,79,1
108,102,1
108,118,1
108,120,1
108,124,1
108,125,1
109,18,1
109,26,1
109,41,1
109,47,1
109,66,1
109,73,1
109,79,1
109,81,1
109,109,1
109,120,1
109,124,1
109,125,1
111,11,1
111,115,1
113,120,1
114,66,1
114,120,1
115,11,1
115,26,1
115,36,1
115,81,1
115,102,1
115,115,1
115,116,1
115,120,1
115,124,1
116,3,1
116,7,1
116,10,1
116,18,1
116,24,1
116,26,1
116,35,1
116,47,1
116,50,1
116,66,1
116,68,1
116,73,1
116,79,1
116,81,1
116,85,1
116,91,1
116,92,1
116,96,1
116,101,1
116,102,1
116,116,1
116,118,1
116,119,1
116,120,1
116,124,1
116,128,1
117,7,1
117,10,1
117,18,1
117,24,1
117,50,1
117,68,1
117,73,1
117,79,1
117,91,1
117,92,1
117,96,1
117,102,1
117,103,1
117,117,1
117,120,1
117,124,1
118,66,1
118,101,1
118,116,1
118,120,1
118,124,1
118,125,1
119,18,1
119,24,1
119,41,1
119,47,1
119,119,1
119,120,1
120,28,1
120,35,1
120,73,1
120,77,1
120,79,1
120,92,1
120,101,1
120,120,1
121,12,1
121,18,1
121,66,1
121,79,1
121,120,1
121,125,1
122,120,1
123,26,1
123,66,1
123,101,1
123,120,1
123,125,1
124,26,1
124,41,1
124,102,1
124,120,1
124,124,1
125,3,1
125,7,1
125,32,1
125,50,1
125,73,1
125,79,1
125,120,1
125,125,1
126,73,1
126,79,1
126,92,1
126,102,1
126,116,1
126,120,1
126,124,1
126,125,1
126,128,1
127,2,1
127,10,1
127,18,1
127,73,1
127,81,1
127,93,1
127,120,1
127,124,1
127,133,1
128,2,1
128,11,1
128,12,1
128,18,1
128,24,1
128,26,1
128,35,1
128,50,1
128,69,1
128,73,1
128,79,1
128,91,1
128,92,1
128,96,1
128,98,1
128,101,1
128,116,1
128,117,1
128,118,1
128,120,1
128,125,1
128,128,1
128,133,1
131,53,1
132,7,1
132,18,1
132,24,1
132,26,1
132,36,1
132,41,1
132,50,1
132,73,1
132,92,1
132,93,1
132,118,1
132,120,1
132,128,1
133,7,1
133,18,1
133,24,1
133,26,1
133,41,1
133,47,1
133,69,1
133,73,1
133,75,1
133,78,1
133,79,1
133,81,1
133,91,1
133,98,1
133,102,1
133,120,1
133,124,1
133,125,1
