From,To,Weight
2,2,1
2,3,1
2,5,1
2,13,1
2,19,1
2,24,1
2,25,1
2,26,1
2,28,1
2,29,1
2,30,1
2,31,1
2,32,1
2,33,1
2,47,1
2,53,1
2,68,1
2,71,1
2,73,1
2,74,1
2,77,1
2,79,1
2,85,1
2,91,1
2,96,1
2,98,1
2,102,1
2,103,1
2,116,1
2,117,1
2,120,1
2,121,1
2,128,1
3,2,1
3,3,1
3,8,1
3,11,1
3,13,1
3,19,1
3,24,1
3,32,1
3,35,1
3,39,1
3,47,1
3,53,1
3,60,1
3,62,1
3,71,1
3,74,1
3,79,1
3,80,1
3,81,1
3,89,1
3,91,1
3,92,1
3,96,1
3,98,1
3,102,1
3,106,1
3,109,1
3,114,1
3,116,1
3,117,1
3,118,1
3,120,1
3,121,1
3,123,1
3,124,1
3,125,1
3,126,1
6,3,1
6,6,1
6,11,1
6,26,1
6,28,1
6,39,1
6,98,1
7,2,1
7,7,1
7,11,1
7,12,1
7,13,1
7,26,1
7,28,1
7,30,1
7,31,1
7,37,1
7,44,1
7,47,1
7,50,1
7,51,1
7,68,1
7,69,1
7,70,1
7,73,1
7,74,1
7,79,1
7,82,1
7,85,1
7,92,1
7,94,1
7,96,1
7,98,1
7,99,1
7,101,1
7,102,1
7,103,1
7,105,1
7,116,1
7,118,1
10,2,1
10,8,1
10,10,1
10,12,1
10,19,1
10,33,1
10,35,1
10,39,1
10,69,1
10,73,1
10,74,1
10,77,1
10,78,1
10,91,1
10,96,1
10,116,1
10,128,1
10,133,1
11,2,1
11,3,1
11,7,1
11,8,1
11,9,1
11,12,1
11,14,1
11,18,1
11,24,1
11,25,1
11,26,1
11,28,1
11,29,1
11,30,1
11,31,1
11,32,1
11,33,1
11,35,1
11,36,1
11,37,1
11,39,1
11,41,1
11,47,1
11,61,1
11,62,1
11,66,1
11,67,1
11,68,1
11,69,1
11,73,1
11,74,1
11,79,1
11,82,1
11,91,1
11,96,1
11,98,1
11,102,1
11,105,1
11,111,1
11,115,1
11,116,1
11,123,1
11,124,1
11,125,1
11,127,1
11,128,1
12,5,1
12,9,1
12,12,1
12,18,1
12,24,1
12,27,1
12,35,1
12,41,1
12,43,1
12,47,1
12,50,1
12,62,1
12,63,1
12,71,1
12,78,1
12,81,1
12,83,1
12,96,1
12,101,1
12,103,1
12,116,1
12,117,1
12,118,1
12,121,1
12,128,1
14,2,1
14,3,1
14,5,1
14,7,1
14,9,1
14,10,1
14,11,1
14,12,1
14,13,1
14,14,1
14,18,1
14,24,1
14,25,1
14,26,1
14,28,1
14,30,1
14,31,1
14,32,1
14,33,1
14,35,1
14,36,1
14,37,1
14,39,1
14,41,1
14,43,1
14,45,1
14,47,1
14,51,1
14,61,1
14,62,1
14,63,1
14,68,1
14,69,1
14,70,1
14,71,1
14,73,1
14,74,1
14,75,1
14,77,1
14,78,1
14,79,1
14,81,1
14,82,1
14,83,1
14,85,1
14,86,1
14,91,1
14,92,1
14,96,1
14,97,1
14,98,1
14,101,1
14,102,1
14,103,1
14,104,1
14,105,1
14,115,1
14,116,1
14,120,1
14,121,1
14,123,1
14,125,1
14,127,1
14,128,1
14,132,1
14,133,1
18,2,1
18,3,1
18,5,1
18,7,1
18,8,1
18,9,1
18,12,1
18,13,1
18,18,1
18,19,1
18,24,1
18,35,1
18,39,1
18,50,1
18,51,1
18,68,1
18,71,1
18,74,1
18,75,1
18,78,1
18,79,1
18,80,1
18,81,1
18,82,1
18,83,1
18,85,1
18,86,1
18,92,1
18,96,1
18,97,1
18,98,1
18,101,1
18,102,1
18,104,1
18,116,1
18,118,1
18,126,1
18,132,1
18,133,1
24,2,1
24,3,1
24,5,1
24,9,1
24,12,1
24,24,1
24,28,1
24,35,1
24,36,1
24,37,1
24,47,1
24,55,1
24,61,1
24,62,1
24,69,1
24,70,1
24,71,1
24,73,1
24,74,1
24,77,1
24,78,1
24,79,1
24,81,1
24,82,1
24,85,1
24,91,1
24,92,1
24,96,1
24,102,1
24,103,1
24,105,1
24,116,1
24,117,1
24,119,1
24,132,1
26,2,1
26,3,1
26,5,1
26,6,1
26,7,1
26,8,1
26,10,1
26,11,1
26,12,1
26,13,1
26,14,1
26,18,1
26,24,1
26,25,1
26,26,1
26,28,1
26,29,1
26,30,1
26,31,1
26,32,1
26,33,1
26,35,1
26,36,1
26,37,1
26,38,1
26,41,1
26,43,1
26,44,1
26,47,1
26,50,1
26,53,1
26,57,1
26,61,1
26,62,1
26,66,1
26,67,1
26,68,1
26,69,1
26,70,1
26,71,1
