From,To,Weight
2,2,1
2,3,1
2,5,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,18,1
2,19,1
2,24,1
2,25,1
2,26,1
2,28,1
2,29,1
2,30,1
2,31,1
2,32,1
2,33,1
2,37,1
2,43,1
2,47,1
2,53,1
2,62,1
2,67,1
2,68,1
2,70,1
2,71,1
2,73,1
2,74,1
2,77,1
2,78,1
2,79,1
2,82,1
2,85,1
2,86,1
2,91,1
2,96,1
2,98,1
2,101,1
2,102,1
2,103,1
2,104,1
2,108,1
2,116,1
2,117,1
2,121,1
2,126,1
2,127,1
2,128,1
3,2,1
3,7,1
3,8,1
3,11,1
3,12,1
3,13,1
3,24,1
3,28,1
3,30,1
3,32,1
3,106,1
3,116,1
3,123,1
3,125,1
6,26,1
6,28,1
7,2,1
7,8,1
7,11,1
7,12,1
7,26,1
7,28,1
7,31,1
7,47,1
7,50,1
7,68,1
7,69,1
7,70,1
7,73,1
7,74,1
7,77,1
7,79,1
7,82,1
7,85,1
7,96,1
7,102,1
7,105,1
10,10,1
10,12,1
10,33,1
10,35,1
10,37,1
10,68,1
10,70,1
10,73,1
10,77,1
10,80,1
10,91,1
10,96,1
10,128,1
11,3,1
11,7,1
11,14,1
11,26,1
11,29,1
11,30,1
11,31,1
11,39,1
11,68,1
11,96,1
11,102,1
11,105,1
11,111,1
11,115,1
11,116,1
11,128,1
12,5,1
12,12,1
12,18,1
12,27,1
12,31,1
12,41,1
12,43,1
12,47,1
12,61,1
12,62,1
12,85,1
12,101,1
12,103,1
12,112,1
12,121,1
12,128,1
14,2,1
14,3,1
14,5,1
14,8,1
14,9,1
14,10,1
14,11,1
14,12,1
14,13,1
14,14,1
14,18,1
14,24,1
14,26,1
14,28,1
14,33,1
14,35,1
14,36,1
14,37,1
14,39,1
14,43,1
14,47,1
14,51,1
14,61,1
14,62,1
14,63,1
14,68,1
14,69,1
14,70,1
14,73,1
14,75,1
14,77,1
14,81,1
14,82,1
14,91,1
14,92,1
14,96,1
14,101,1
14,102,1
14,103,1
14,104,1
14,105,1
14,115,1
14,116,1
14,117,1
14,118,1
14,120,1
14,121,1
14,125,1
14,126,1
14,128,1
14,132,1
14,133,1
18,2,1
18,6,1
18,12,1
18,13,1
18,24,1
18,33,1
18,35,1
18,36,1
18,37,1
18,39,1
18,43,1
18,47,1
18,51,1
18,55,1
18,57,1
18,61,1
18,62,1
18,63,1
18,66,1
18,68,1
18,71,1
18,73,1
18,75,1
18,77,1
18,79,1
18,80,1
18,81,1
18,82,1
18,85,1
18,86,1
18,87,1
18,88,1
18,91,1
18,92,1
18,93,1
18,96,1
18,97,1
18,98,1
18,100,1
18,104,1
18,116,1
18,121,1
18,122,1
18,124,1
18,125,1
18,126,1
18,128,1
18,132,1
18,133,1
24,2,1
24,3,1
24,5,1
24,12,1
24,13,1
24,18,1
24,24,1
24,26,1
24,28,1
24,30,1
24,31,1
24,35,1
24,36,1
24,37,1
24,41,1
24,47,1
24,55,1
24,61,1
24,68,1
24,69,1
24,70,1
24,71,1
24,73,1
24,74,1
24,77,1
24,78,1
24,79,1
24,80,1
24,81,1
24,82,1
24,83,1
24,85,1
24,92,1
24,96,1
24,101,1
24,102,1
24,103,1
24,104,1
24,105,1
24,116,1
24,117,1
24,119,1
24,120,1
24,128,1
24,132,1
24,133,1
26,2,1
26,3,1
26,5,1
26,6,1
26,7,1
26,8,1
26,10,1
26,11,1
26,12,1
26,13,1
26,14,1
26,18,1
26,19,1
26,24,1
26,25,1
26,26,1
26,28,1
26,29,1
26,30,1
26,31,1
26,32,1
26,33,1
26,35,1
26,36,1
26,37,1
26,41,1
26,43,1
26,47,1
26,53,1
26,61,1
26,62,1
26,67,1
26,68,1
26,69,1
26,70,1
26,71,1
26,73,1
26,74,1
26,77,1
26,78,1
26,79,1
26,80,1
26,82,1
26,85,1
26,86,1
26,87,1
26,91,1
26,92,1
26,95,1
26,96,1
26,98,1
26,101,1
26,102,1
26,103,1
26,105,1
26,109,1
26,116,1
26,118,1
26,120,1
26,124,1
26,127,1
26,128,1
26,132,1
26,133,1
27,2,1
27,5,1
27,13,1
27,18,1
27,27,1
27,28,1
27,29,1
27,30,1
27,32,1
27,33,1
27,38,1
27,41,1
27,43,1
27,61,1
27,105,1
28,2,1
28,3,1
28,5,1
28,6,1
28,12,1
28,13,1
28,25,1
28,26,1
28,28,1
28,29,1
28,30,1
28,31,1
28,32,1
28,35,1
28,36,1
28,47,1
28,68,1
28,73,1
28,87,1
