From,To,Weight
2,2,1
2,3,1
2,5,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,18,1
2,19,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,1
2,29,1
2,30,1
2,31,1
2,32,1
2,33,1
2,36,1
2,37,1
2,43,1
2,47,1
2,50,1
2,53,1
2,62,1
2,66,1
2,67,1
2,68,1
2,69,1
2,70,1
2,71,1
2,73,1
2,74,1
2,77,1
2,78,1
2,79,1
2,82,1
2,85,1
2,86,1
2,91,1
2,92,1
2,96,1
2,98,1
2,101,1
2,102,1
2,103,1
2,104,1
2,108,1
2,115,1
2,116,1
2,117,1
2,121,1
2,124,1
2,125,1
2,126,1
2,127,1
2,128,1
3,2,1
3,7,1
3,8,1
3,11,1
3,12,1
3,13,1
3,14,1
3,24,1
3,26,1
3,28,1
3,30,1
3,32,1
3,33,1
3,37,1
3,38,1
3,47,1
3,66,1
3,69,1
3,75,1
3,79,1
3,91,1
3,101,1
3,102,1
3,106,1
3,115,1
3,116,1
3,117,1
3,123,1
3,124,1
3,125,1
5,2,1
5,12,1
5,14,1
5,24,1
5,26,1
5,27,1
5,28,1
5,29,1
5,30,1
5,33,1
5,35,1
5,41,1
5,43,1
5,47,1
5,50,1
5,69,1
5,73,1
5,78,1
5,79,1
5,91,1
5,92,1
5,98,1
5,101,1
5,102,1
5,103,1
5,115,1
5,116,1
5,117,1
5,118,1
5,119,1
5,124,1
5,133,1
6,18,1
6,26,1
6,28,1
6,47,1
6,91,1
6,103,1
6,117,1
7,2,1
7,3,1
7,8,1
7,11,1
7,12,1
7,26,1
7,28,1
7,31,1
7,36,1
7,47,1
7,50,1
7,68,1
7,69,1
7,70,1
7,73,1
7,74,1
7,77,1
7,79,1
7,82,1
7,85,1
7,96,1
7,102,1
7,105,1
7,115,1
7,119,1
8,2,1
8,3,1
8,7,1
8,14,1
8,26,1
8,37,1
8,43,1
8,47,1
8,50,1
8,66,1
8,69,1
8,73,1
8,77,1
8,79,1
8,88,1
8,93,1
8,101,1
8,102,1
8,124,1
8,125,1
8,128,1
9,2,1
9,14,1
9,30,1
9,32,1
9,33,1
9,35,1
9,47,1
9,69,1
9,96,1
9,101,1
9,124,1
10,2,1
10,10,1
10,12,1
10,14,1
10,26,1
10,33,1
10,35,1
10,37,1
10,43,1
10,68,1
10,69,1
10,70,1
10,73,1
10,77,1
10,79,1
10,80,1
10,91,1
10,96,1
10,101,1
10,115,1
10,116,1
10,128,1
11,2,1
11,3,1
11,7,1
11,14,1
11,26,1
11,29,1
11,30,1
11,31,1
11,37,1
11,39,1
11,43,1
11,47,1
11,66,1
11,68,1
11,69,1
11,79,1
11,96,1
11,102,1
11,105,1
11,111,1
11,113,1
11,115,1
11,116,1
11,124,1
11,128,1
12,2,1
12,3,1
12,5,1
12,7,1
12,10,1
12,12,1
12,14,1
12,18,1
12,24,1
12,26,1
12,27,1
12,28,1
12,30,1
12,31,1
12,33,1
12,36,1
12,41,1
12,43,1
12,47,1
12,61,1
12,62,1
12,66,1
12,69,1
12,73,1
12,75,1
12,78,1
12,79,1
12,85,1
12,91,1
12,92,1
12,101,1
12,102,1
12,103,1
12,109,1
12,112,1
12,115,1
12,116,1
12,117,1
12,118,1
12,119,1
12,121,1
12,124,1
12,125,1
12,128,1
12,133,1
13,2,1
13,3,1
13,14,1
13,18,1
13,24,1
13,26,1
13,27,1
13,28,1
13,33,1
13,37,1
13,41,1
13,43,1
13,69,1
13,73,1
13,75,1
13,79,1
13,88,1
13,98,1
13,101,1
13,102,1
13,115,1
13,117,1
13,128,1
13,133,1
14,2,1
14,3,1
14,5,1
14,8,1
14,9,1
14,10,1
14,11,1
14,12,1
14,13,1
14,14,1
14,18,1
14,24,1
14,26,1
14,28,1
14,33,1
14,35,1
14,36,1
14,37,1
14,39,1
14,43,1
14,47,1
14,51,1
14,61,1
14,62,1
14,63,1
14,66,1
14,68,1
14,69,1
14,70,1
14,73,1
14,75,1
14,77,1
14,81,1
14,82,1
14,91,1
14,92,1
14,96,1
14,101,1
14,102,1
14,103,1
14,104,1
14,105,1
14,115,1
14,116,1
14,117,1
14,118,1
14,120,1
14,121,1
14,125,1
14,126,1
14,128,1
14,132,1
14,133,1
15,119,1
16,53,1
17,53,1
17,91,1
18,2,1
18,6,1
18,12,1
18,13,1
18,14,1
18,24,1
18,26,1
18,27,1
18,32,1
18,33,1
18,35,1
18,36,1
18,37,1
18,39,1
18,41,1
18,43,1
18,47,1
18,51,1
